FFKU8N1CZHLMUG6GUHZ1,1,Unwell,others,,,0716,204828
FFKU8N1CZHLMUG6GUHZ1,2,Hungry,Hungry,,,0716,210357
FFKU8N1CZHLMUG6GUHZ1,3,Sleepy,Sleepy,,,0716,212537
FFKU8N1CZHLMUG6GUHZ1,4,Hungry,Hungry,,,0716,232222
FFKU8N1CZHLMUG6GUHZ1,5,Hungry,others,,,0717,005840
FFKU8N1CZHLMUG6GUHZ1,6,Sleepy,Sleepy,,,0717,020106
FFKU8N1CZHLMUG6GUHZ1,7,Unwell,Unwell,,,0717,041232
FFKU8N1CZHLMUG6GUHZ1,8,Hungry,others,,,0717,045707
FFKU8N1CZHLMUG6GUHZ1,9,Sleepy,Sleepy,,,0717,053257
FFKU8N1CZHLMUG6GUHZ1,10,Hungry,Hungry,,,0717,054001
FFKU8N1CZHLMUG6GUHZ1,11,Unwell,Unwell,Wet diaper,,0717,111442
FFKU8N1CZHLMUG6GUHZ1,12,Sleepy,Hungry,Unwell,,0717,112707
FFKU8N1CZHLMUG6GUHZ1,13,Sleepy,Hungry,Unwell,,0717,114358
FFKU8N1CZHLMUG6GUHZ1,14,Unwell,Unwell,,,0717,121126
FFKU8N1CZHLMUG6GUHZ1,15,Hungry,others,,,0717,122735
FFKU8N1CZHLMUG6GUHZ1,16,Unwell,Unwell,,,0717,123747
FFKU8N1CZHLMUG6GUHZ1,17,Sleepy,Sleepy,,,0717,124626
FFKU8N1CZHLMUG6GUHZ1,18,Hungry,Unwell,others,,0717,144321
FFKU8N1CZHLMUG6GUHZ1,19,Sleepy,Sleepy,Unwell,,0717,152544
FFKU8N1CZHLMUG6GUHZ1,20,Sleepy,Sleepy,,,0717,164048
FFKU8N1CZHLMUG6GUHZ1,21,Sleepy,Sleepy,,,0717,165439
FFKU8N1CZHLMUG6GUHZ1,22,Unwell,Sleepy,Unwell,,0717,173032
FFKU8N1CZHLMUG6GUHZ1,23,Hungry,Hungry,Sleepy,,0717,213115
FFKU8N1CZHLMUG6GUHZ1,24,Sleepy,Hungry,Sleepy,,0717,214159
FFKU8N1CZHLMUG6GUHZ1,25,Sleepy,Hungry,,,0717,221136
FFKU8N1CZHLMUG6GUHZ1,26,Hungry,Sleepy,,,0717,222320
FFKU8N1CZHLMUG6GUHZ1,27,Sleepy,Sleepy,,,0717,223416
FFKU8N1CZHLMUG6GUHZ1,28,Hungry,Sleepy,Unwell,others,0718,102815
FFKU8N1CZHLMUG6GUHZ1,29,Sleepy,Sleepy,Unwell,,0718,122727
FFKU8N1CZHLMUG6GUHZ1,30,Sleepy,Sleepy,Unwell,,0718,132039
FFKU8N1CZHLMUG6GUHZ1,31,Hungry,Unwell,others,,0718,152954
FFKU8N1CZHLMUG6GUHZ1,32,Unwell,Unwell,others,,0718,161855
FFKU8N1CZHLMUG6GUHZ1,33,Hungry,Hungry,Unwell,,0718,174438
FFKU8N1CZHLMUG6GUHZ1,34,Unwell,Sleepy,Unwell,,0718,180023
FFKU8N1CZHLMUG6GUHZ1,35,Sleepy,Sleepy,Unwell,,0718,181137
FFKU8N1CZHLMUG6GUHZ1,36,Hungry,Hungry,Sleepy,,0718,215117
FFKU8N1CZHLMUG6GUHZ1,37,Hungry,Hungry,Sleepy,Unwell,0718,220109
FFKU8N1CZHLMUG6GUHZ1,38,Unwell,Sleepy,Unwell,,0718,220458
FFKU8N1CZHLMUG6GUHZ1,39,Sleepy,Sleepy,Unwell,,0718,221812
FFKU8N1CZHLMUG6GUHZ1,40,Hungry,Hungry,,,0719,061202
FFKU8N1CZHLMUG6GUHZ1,41,Hungry,Hungry,Unwell,,0719,110123
FFKU8N1CZHLMUG6GUHZ1,42,Hungry,Hungry,,,0719,112007
FFKU8N1CZHLMUG6GUHZ1,43,Sleepy,Sleepy,Unwell,,0719,120439
FFKU8N1CZHLMUG6GUHZ1,44,Hungry,Hungry,Sleepy,,0719,121904
FFKU8N1CZHLMUG6GUHZ1,45,Unwell,Unwell,,,0719,143236
FFKU8N1CZHLMUG6GUHZ1,46,Unwell,Hungry,Unwell,,0719,161106
FFKU8N1CZHLMUG6GUHZ1,47,Hungry,Unwell,others,,0719,175501
FFKU8N1CZHLMUG6GUHZ1,48,Sleepy,Unwell,,,0719,180601
FFKU8N1CZHLMUG6GUHZ1,49,Sleepy,Unwell,,,0719,183304
FFKU8N1CZHLMUG6GUHZ1,50,Sleepy,Unwell,,,0719,184600
FFKU8N1CZHLMUG6GUHZ1,51,Sleepy,Sleepy,Unwell,,0719,190233
FFKU8N1CZHLMUG6GUHZ1,52,Sleepy,Sleepy,Unwell,,0719,191339
FFKU8N1CZHLMUG6GUHZ1,53,Unwell,Sleepy,Unwell,,0719,191652
FFKU8N1CZHLMUG6GUHZ1,54,Sleepy,Sleepy,Unwell,,0719,195058
FFKU8N1CZHLMUG6GUHZ1,55,Hungry,Hungry,Unwell,,0719,200928
FFKU8N1CZHLMUG6GUHZ1,56,Sleepy,Sleepy,,,0719,213335
FFKU8N1CZHLMUG6GUHZ1,57,Sleepy,Sleepy,,,0719,221244
FFKU8N1CZHLMUG6GUHZ1,58,Hungry,Sleepy,Unwell,,0719,222258
FFKU8N1CZHLMUG6GUHZ1,59,Unwell,Sleepy,Unwell,,0719,224242
FFKU8N1CZHLMUG6GUHZ1,60,Unwell,Sleepy,Unwell,,0719,225728
DVPA9X2CUFLW9GPGUHFJ,1,Unwell,others,,,0719,201002
DVPA9X2CUFLW9GPGUHFJ,2,Unwell,Sleepy,,,0719,203302
